时间,动作,用户名,数值,余额,标记
2019-11-19T23:30:25.745,#add_diamond,iloveyou5321,0.0095,0.6044999999999995,tradeadd
2019-11-19T23:34:34.218,#add_diamond,majinlin1234,-0.01,0.6278999999999935,tradesub
2019-11-19T23:34:34.218,#add_diamond,liucong12345,0.0095,0,tradeadd
2019-11-19T23:34:39.722,#add_diamond,majinlin1234,-0.01,0.6178999999999935,tradesub
2019-11-19T23:34:39.722,#add_diamond,kemina525252,0.0095,0.1475,tradeadd
2019-11-19T23:34:42.723,#add_diamond,majinlin1234,-0.01,0.6078999999999934,tradesub
2019-11-19T23:34:42.724,#add_diamond,kemina222222,0.0095,0.15699999999999997,tradeadd
2019-11-19T23:34:44.975,#add_diamond,majinlin1234,-0.01,0.5978999999999934,tradesub
2019-11-19T23:34:44.975,#add_diamond,pokerislost1,0.0095,0,tradeadd
2019-11-19T23:34:46.978,#add_diamond,majinlin1234,-0.01,0.5878999999999934,tradesub
2019-11-19T23:34:46.978,#add_diamond,ryin52rita52,0.0095,9.518009999999995,tradeadd
2019-11-19T23:34:59.739,#add_diamond,majinlin1234,-0.01,0.5778999999999934,tradesub
2019-11-19T23:34:59.739,#add_diamond,gogogo123,0.0095,0.028499999999999998,tradeadd
2019-11-19T23:35:02.239,#add_diamond,majinlin1234,-0.01,0.5678999999999934,tradesub
2019-11-19T23:35:02.239,#add_diamond,mengmeng5,0.0095,0.0655,tradeadd
2019-11-19T23:35:04.991,#add_diamond,majinlin1234,-0.01,0.5578999999999934,tradesub
2019-11-19T23:35:04.991,#add_diamond,eoseoseosdai,0.0095,0.0095,tradeadd
2019-11-19T23:35:07.995,#add_diamond,majinlin1234,-0.01,0.5478999999999934,tradesub
2019-11-19T23:35:07.995,#add_diamond,falwlrgw1,0.0095,0.12149999999999997,tradeadd
2019-11-19T23:35:10.249,#add_diamond,majinlin1234,-0.01,0.5378999999999934,tradesub
2019-11-19T23:35:10.249,#add_diamond,a1b2c3d4cjq5,0.0095,0.10449999999999998,tradeadd
2019-11-19T23:35:13.001,#add_diamond,majinlin1234,-0.01,0.5278999999999934,tradesub
2019-11-19T23:35:13.001,#add_diamond,ymmcwj555555,0.0095,9.242499999999987,tradeadd
2019-11-19T23:35:18.756,#add_diamond,majinlin1234,-0.01,0.5178999999999934,tradesub
2019-11-19T23:35:18.757,#add_diamond,kemina222222,0.0095,0.16649999999999998,tradeadd
2019-11-19T23:51:24.957,#add_diamond,xudabing1234,-0.3,8.527899999999999,tradesub
2019-11-19T23:51:24.957,#add_diamond,showtimetome,0.285,0.0032999999999999696,tradeadd
2019-11-19T23:59:19.184,#add_diamond,majinlin1234,-0.01,0.5078999999999934,tradesub
2019-11-19T23:59:19.184,#add_diamond,a1b2c3d4cjq5,0.0095,0.11399999999999998,tradeadd
